faa;name;lat;lon;alt;tz;dst;tzone
04G;Lansdowne Airport;41,1304722000000;-80,619583300000;1044;-5;A;America/New_York
06A;Moton Field Municipal Airport;32,4605722000000;-85,680027800000;264;-6;A;America/Chicago
06C;Schaumburg Regional;41,9893408000000;-88,101242800000;801;-6;A;America/Chicago
06N;Randall Airport;41,4319120000000;-74,391561100000;523;-5;A;America/New_York
09J;Jekyll Island Airport;31,0744722000000;-81,427777800000;11;-5;A;America/New_York
0A9;Elizabethton Municipal Airport;36,3712222000000;-82,173416700000;1593;-5;A;America/New_York
0G6;Williams County Airport;41,4673056000000;-84,506777800000;730;-5;A;America/New_York
0G7;Finger Lakes Regional Airport;42,8835647000000;-76,781231800000;492;-5;A;America/New_York
0P2;Shoestring Aviation Airfield;39,7948244000000;-76,647191400000;1000;-5;U;America/New_York
0S9;Jefferson County Intl;48,0538086000000;-122,810643600000;108;-8;A;America/Los_Angeles
0W3;Harford County Airport;39,5668378000000;-76,202402800000;409;-5;A;America/New_York
10C;Galt Field Airport;42,4028889000000;-88,375111100000;875;-6;U;America/Chicago
17G;Port Bucyrus-Crawford County Airport;40,7815556000000;-82,974805600000;1003;-5;A;America/New_York
19A;Jackson County Airport;34,1758638000000;-83,561597200000;951;-5;U;America/New_York
1A3;Martin Campbell Field Airport;35,0158056000000;-84,346833300000;1789;-5;A;America/New_York
1B9;Mansfield Municipal;42,0001331000000;-71,196771400000;122;-5;A;America/New_York
1C9;Frazier Lake Airpark;54,0133333333333;-124,768333333333;152;-8;A;America/Vancouver
1CS;Clow International Airport;41,6959744000000;-88,129230600000;670;-6;U;America/Chicago
1G3;Kent State Airport;41,1513889000000;-81,415111100000;1134;-5;A;America/New_York
1G4;Grand Canyon West Airport;35,8999040000000;-113,815674000000;4813;-7;A;America/Phoenix
1H2;Effingham Memorial Airport;39,0700000000000;-88,534000000000;585;-6;A;America/Chicago
1OH;Fortman Airport;40,5553253000000;-84,386618600000;885;-5;U;America/New_York
1RL;Point Roberts Airpark;48,9797222000000;-123,078888900000;10;-8;A;America/Los_Angeles
23M;Clarke CO;32,0517000000000;-88,443400000000;320;-6;A;America/Chicago
24C;Lowell City Airport;42,9539200000000;-85,343905800000;681;-5;A;America/New_York
24J;Suwannee County Airport;30,3001250000000;-83,024694400000;104;-5;A;America/New_York
25D;Forest Lake Airport;45,2477456000000;-92,994385300000;925;-6;A;America/Chicago
29D;Grove City Airport;41,1460278000000;-80,167750000000;1371;-5;A;America/New_York
2A0;Mark Anton Airport;35,4862500000000;-84,931083300000;718;-5;A;America/New_York
2B2;Plum Island Airport;42,7953611000000;-70,839444400000;11;-5;A;America/New_York
2G2;Jefferson County Airpark;40,3602179000000;-80,700874200000;1196;-5;A;America/New_York
2G9;Somerset County Airport;40,0388708000000;-79,014995100000;2275;-5;A;America/New_York
2H0;Shelby County Airport;39,4105560000000;-88,845556000000;550;-6;A;America/Chicago
2J9;Quincy Municipal Airport;30,5978708000000;-84,557425000000;225;-5;A;America/New_York
369;Atmautluak Airport;60,8666670000000;-162,273056000000;18;-9;A;America/Anchorage
36U;Heber City Municipal Airport;40,4818056000000;-111,428805600000;5637;-7;A;America/Denver
38W;Lynden Airport;48,9558961000000;-122,458118300000;106;-8;A;America/Los_Angeles
3D2;Ephraim-Gibraltar Airport;45,1354167000000;-87,187944400000;773;-6;A;America/Chicago
3G3;Wadsworth Municipal;41,0031572000000;-81,756440100000;974;-5;A;America/New_York
3G4;Ashland County Airport;40,9029722000000;-82,255638900000;1206;-5;A;America/New_York
3J1;Ridgeland Airport;32,4934167000000;-80,991750000000;79;-5;A;America/New_York
3W2;Put-in-Bay Airport;41,3521000000000;-82,497000000000;595;-5;A;America/New_York
40J;Perry-Foley Airport;30,0692778000000;-83,580583300000;44;-5;A;America/New_York
41N;Braceville Airport;41,2111675000000;-80,969257200000;900;-5;A;America/New_York
47A;Cherokee County Airport;34,3122175000000;-84,422155600000;1219;-5;A;America/New_York
49A;Gilmer County Airport;34,6282222000000;-84,526583300000;1486;-5;A;America/New_York
49X;Chemehuevi Valley;34,5288890000000;-114,431971000000;638;-8;A;America/Los_Angeles
4A4;Polk County Airport - Cornelius Moore Field;34,0186944000000;-85,146472200000;974;-5;A;America/New_York
4A7;Clayton County Tara Field;33,3890990000000;-84,332397000000;874;-5;A;America/New_York
4A9;Isbell Field Airport;34,4736944000000;-85,721388900000;877;-6;A;America/Chicago
4B8;Robertson Field;41,6893333000000;-72,864694400000;202;-5;A;America/New_York
4G0;Pittsburgh-Monroeville Airport;40,4526389000000;-79,774916700000;1187;-5;A;America/New_York
4G2;Hamburg Inc Airport;42,7008925000000;-78,914756900000;751;-5;A;America/New_York
4G4;Youngstown Elser Metro Airport;40,9617953000000;-80,677326400000;1070;-5;A;America/New_York
4I7;Putnam County Airport;39,6335556000000;-86,813805600000;842;-5;U;America/New_York
4U9;Dell Flight Strip;44,7357483000000;-112,720013300000;6007;-7;A;America/Denver
52A;Madison GA Municipal Airport;33,6121250000000;-83,460444400000;694;-5;A;America/New_York
54J;DeFuniak Springs Airport;30,7311111000000;-86,153777800000;289;-6;A;America/Chicago
55J;Fernandina Beach Municipal Airport;30,6118333000000;-81,461194400000;16;-5;A;America/New_York
55S;Packwood;46,3625000000000;-121,406700000000;1057;-8;A;America/Los_Angeles
57C;East Troy Municipal Airport;42,7971667000000;-88,372611100000;860;-6;A;America/Chicago
5B2;Saratoga County Airport;43,0507220000000;-73,861638000000;433;-5;A;America/New_York
60J;Ocean Isle Beach Airport;33,9085056000000;-78,436672200000;32;-5;U;America/New_York
6A2;Griffin-Spalding County Airport;33,2269722000000;-84,274944400000;958;-5;A;America/New_York
6J4;Saluda County;33,5561000000000;-81,476800000000;539;-5;A;America/New_York
6K8;Tok Junction Airport;63,3294440000000;-142,953611000000;1639;-9;A;America/Anchorage
6S0;Big Timber Airport;45,8063889000000;-109,981111100000;4492;-7;A;America/Denver
6S2;Florence;43,9828168000000;-124,111368700000;51;-8;A;America/Los_Angeles
6Y8;Welke Airport;45,7211110000000;-85,520278000000;664;-5;A;America/New_York
70J;Cairo-Grady County Airport;30,8879767000000;-84,154735300000;265;-5;A;America/New_York
70N;Spring Hill Airport;41,3473569000000;-75,415897200000;1729;-5;A;America/New_York
7A4;Foster Field;42,4664444000000;-90,169388900000;990;-6;A;America/Chicago
7D9;Germack Airport;41,7778322000000;-80,903979700000;820;-5;A;America/New_York
7N7;Spitfire Aerodrome;39,7355633000000;-75,397721100000;40;-5;A;America/New_York
8M8;Garland Airport;44,8065278000000;-84,276194400000;1218;-5;A;America/New_York
93C;Richland Airport;43,2833575000000;-90,298281900000;742;-6;A;America/Chicago
99N;Bamberg County Airport;33,3045278000000;-81,108416700000;231;-5;A;America/New_York
9A1;Covington Municipal Airport;33,6323083000000;-83,847447200000;809;-5;A;America/New_York
9A5;Barwick Lafayette Airport;34,6884792000000;-85,290331900000;777;-5;A;America/New_York
