id,age,sexe,nivetud,poids,occup,qualif,freres_soeurs,clso,relig,trav_imp,trav_satisf,hard_rock,lecture_bd,peche_chasse,cuisine,bricol,cinema,sport,heures_tv
1,28,Femme,Enseignement superieur y compris technique superieur,2634.3982157,Exerce une profession,Employe,8,Oui,Ni croyance ni appartenance,Peu important,Insatisfaction,Non,Non,Non,Oui,Non,Non,Non,0
2,23,Femme,NA,9738.3957759,"Etudiant, eleve",NA,2,Oui,Ni croyance ni appartenance,NA,NA,Non,Non,Non,Non,Non,Oui,Oui,1
3,59,Homme,Derniere annee d'etudes primaires,3994.1024587,Exerce une profession,Technicien,2,Non,Ni croyance ni appartenance,Aussi important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Oui,0
4,34,Homme,Enseignement superieur y compris technique superieur,5731.6615081,Exerce une profession,Technicien,1,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Oui,Oui,2
5,71,Femme,Derniere annee d'etudes primaires,4329.0940022,Retraite,Employe,0,Oui,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,3
6,35,Femme,Enseignement technique ou professionnel court,8674.6993828,Exerce une profession,Employe,5,Non,Ni croyance ni appartenance,Le plus important,Equilibre,Non,Non,Non,Non,Non,Oui,Oui,2
7,60,Femme,Derniere annee d'etudes primaires,6165.8034861,Au foyer,Ouvrier qualifie,1,Oui,Appartenance sans pratique,NA,NA,Non,Non,Oui,Oui,Non,Non,Non,2.9
8,47,Homme,Enseignement technique ou professionnel court,12891.640759,Exerce une profession,Ouvrier qualifie,5,Non,Ni croyance ni appartenance,Peu important,Insatisfaction,Non,Non,Oui,Oui,Oui,Non,Non,1
9,20,Femme,NA,7808.8720636,"Etudiant, eleve",NA,4,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Oui,Non,2
10,28,Homme,Enseignement technique ou professionnel long,2277.160471,Exerce une profession,Autre,2,Non,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Oui,2
11,65,Femme,Enseignement superieur y compris technique superieur,704.3227337,Retraite,Employe,3,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Oui,Oui,Non,1
12,47,Homme,2eme cycle,6697.8682458,Exerce une profession,Ouvrier qualifie,4,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Oui,0
13,63,Femme,Derniere annee d'etudes primaires,7118.4658524,Retraite,Employe,1,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Non,Non,Non,4
14,67,Femme,Enseignement technique ou professionnel court,586.77141335,Exerce une profession,NA,5,Oui,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Non,Non,1
15,76,Femme,"A arrete ses etudes, avant la derniere annee d'etudes primaires",11042.077445,Retraite,NA,2,Oui,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Non,Oui,Non,3
16,49,Femme,Enseignement technique ou professionnel court,9958.2287255,Exerce une profession,Employe,3,Non,Pratiquant occasionnel,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Oui,Non,0
17,62,Homme,Enseignement superieur y compris technique superieur,4836.1393119,Retraite,Cadre,4,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Oui,Oui,Oui,Oui,1
18,20,Femme,NA,1551.4845831,"Etudiant, eleve",NA,0,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Oui,Oui,Oui,Oui,3
19,70,Homme,Derniere annee d'etudes primaires,3141.1571657,Retraite,Ouvrier specialise,2,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Non,Non,1
20,39,Femme,Enseignement technique ou professionnel court,27195.837824,Exerce une profession,Ouvrier qualifie,5,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Non,Oui,Oui,2.7
21,30,Femme,Enseignement technique ou professionnel court,14647.99834,Exerce une profession,Employe,6,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Oui,Non,Non,4
22,30,Homme,Enseignement technique ou professionnel court,8128.0602905,Exerce une profession,Employe,2,Oui,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Non,Non,Non,Non,Non,6
23,37,Femme,Enseignement technique ou professionnel court,1281.9156312,Exerce une profession,Employe,4,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Oui,Non,Oui,Oui,0
24,79,Femme,Derniere annee d'etudes primaires,11663.33833,Autre inactif,NA,11,Non,Pratiquant regulier,NA,NA,Non,Non,Non,Non,Non,Non,Non,7
25,20,Femme,NA,8780.2614165,Exerce une profession,Ouvrier specialise,0,Non,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Non,Oui,Oui,2
26,74,Homme,Enseignement superieur y compris technique superieur,1700.8436595,Retraite,Cadre,2,Oui,Ni croyance ni appartenance,NA,NA,Non,Non,Oui,Non,Non,Non,Non,3
27,31,Femme,Enseignement technique ou professionnel long,6662.8374795,Exerce une profession,Ouvrier qualifie,1,Non,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Non,Oui,Non,Non,Non,1
28,35,Homme,1er cycle,3359.4689799,Exerce une profession,Ouvrier specialise,6,Non,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Oui,Non,Non,Non,Non,1
29,35,Homme,Enseignement technique ou professionnel court,8536.1100607,Exerce une profession,Ouvrier qualifie,2,Non,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Non,Non,Oui,Non,Non,4
30,30,Homme,Enseignement technique ou professionnel court,10620.525909,Exerce une profession,Ouvrier qualifie,1,Oui,Ni croyance ni appartenance,Aussi important que le reste,Satisfaction,Non,Non,Oui,Oui,Oui,Oui,Oui,3
31,54,Homme,Enseignement technique ou professionnel court,5264.2953057,Exerce une profession,Employe,2,Non,Appartenance sans pratique,Moins important que le reste,Satisfaction,Non,Non,Non,Non,Oui,Non,Non,0
32,29,Homme,Enseignement technique ou professionnel court,14161.759709,Exerce une profession,Autre,2,Oui,Appartenance sans pratique,Moins important que le reste,Satisfaction,Oui,Non,Non,Oui,Oui,Oui,Non,1
33,49,Homme,"A arrete ses etudes, avant la derniere annee d'etudes primaires",1339.6196252,Exerce une profession,NA,2,Oui,Appartenance sans pratique,Moins important que le reste,Equilibre,Non,Non,Oui,Non,Oui,Non,Non,1
34,59,Homme,"A arrete ses etudes, avant la derniere annee d'etudes primaires",9243.9152614,Exerce une profession,NA,9,Non,Pratiquant occasionnel,Moins important que le reste,Satisfaction,Non,Oui,Non,Oui,Non,Non,Non,2
35,41,Femme,Enseignement technique ou professionnel court,4512.2959026,Chomeur,Ouvrier qualifie,2,Non,Pratiquant occasionnel,NA,NA,Non,Non,Non,Oui,Oui,Oui,Oui,2
36,41,Femme,1er cycle,7871.6451978,Exerce une profession,Employe,3,Oui,Rejet,Moins important que le reste,Insatisfaction,Non,Non,Non,Non,Non,Oui,Non,4
37,53,Homme,Enseignement technique ou professionnel court,1356.9620736,Exerce une profession,Ouvrier qualifie,0,Oui,Ni croyance ni appartenance,Moins important que le reste,Equilibre,Non,Non,Non,Non,Oui,Non,Oui,1
38,19,Femme,NA,7626.3300317,"Etudiant, eleve",NA,1,Non,Appartenance sans pratique,NA,NA,Non,Non,Non,Non,Non,Oui,Oui,2
