id;age;sexe;nivetud;poids;occup;qualif;freres_soeurs;clso;relig;trav_imp;trav_satisf;hard_rock;lecture_bd;peche_chasse;cuisine;bricol;cinema;sport;heures_tv
1;28;Femme;Enseignement superieur y compris technique superieur;2634,39821570;Exerce une profession;Employe;8;Oui;Ni croyance ni appartenance;Peu important;Insatisfaction;Non;Non;Non;Oui;Non;Non;Non;0,0
2;23;Femme;NA;9738,39577590;Etudiant, eleve;NA;2;Oui;Ni croyance ni appartenance;NA;NA;Non;Non;Non;Non;Non;Oui;Oui;1,0
3;59;Homme;Derniere annee d'etudes primaires;3994,10245870;Exerce une profession;Technicien;2;Non;Ni croyance ni appartenance;Aussi important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Oui;0,0
4;34;Homme;Enseignement superieur y compris technique superieur;5731,66150810;Exerce une profession;Technicien;1;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Oui;Oui;2,0
5;71;Femme;Derniere annee d'etudes primaires;4329,09400220;Retraite;Employe;0;Oui;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;3,0
6;35;Femme;Enseignement technique ou professionnel court;8674,69938280;Exerce une profession;Employe;5;Non;Ni croyance ni appartenance;Le plus important;Equilibre;Non;Non;Non;Non;Non;Oui;Oui;2,0
7;60;Femme;Derniere annee d'etudes primaires;6165,80348610;Au foyer;Ouvrier qualifie;1;Oui;Appartenance sans pratique;NA;NA;Non;Non;Oui;Oui;Non;Non;Non;2,9
8;47;Homme;Enseignement technique ou professionnel court;12891,64075900;Exerce une profession;Ouvrier qualifie;5;Non;Ni croyance ni appartenance;Peu important;Insatisfaction;Non;Non;Oui;Oui;Oui;Non;Non;1,0
9;20;Femme;NA;7808,87206360;Etudiant, eleve;NA;4;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Oui;Non;2,0
10;28;Homme;Enseignement technique ou professionnel long;2277,16047100;Exerce une profession;Autre;2;Non;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Oui;2,0
11;65;Femme;Enseignement superieur y compris technique superieur;704,32273370;Retraite;Employe;3;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Oui;Oui;Non;1,0
12;47;Homme;2eme cycle;6697,86824580;Exerce une profession;Ouvrier qualifie;4;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Oui;Non;Oui;0,0
13;63;Femme;Derniere annee d'etudes primaires;7118,46585240;Retraite;Employe;1;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Non;Non;Non;4,0
14;67;Femme;Enseignement technique ou professionnel court;586,77141335;Exerce une profession;NA;5;Oui;Pratiquant occasionnel;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Non;Non;1,0
15;76;Femme;A arrete ses etudes, avant la derniere annee d'etudes primaires;11042,07744500;Retraite;NA;2;Oui;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Non;Oui;Non;3,0
16;49;Femme;Enseignement technique ou professionnel court;9958,22872550;Exerce une profession;Employe;3;Non;Pratiquant occasionnel;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Oui;Non;0,0
17;62;Homme;Enseignement superieur y compris technique superieur;4836,13931190;Retraite;Cadre;4;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Oui;Oui;Oui;Oui;1,0
18;20;Femme;NA;1551,48458310;Etudiant, eleve;NA;0;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Oui;Oui;Oui;Oui;3,0
19;70;Homme;Derniere annee d'etudes primaires;3141,15716570;Retraite;Ouvrier specialise;2;Non;Appartenance sans pratique;NA;NA;Non;Non;Non;Non;Non;Non;Non;1,0
20;39;Femme;Enseignement technique ou professionnel court;27195,83782400;Exerce une profession;Ouvrier qualifie;5;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Non;Non;Oui;Oui;2,7
21;30;Femme;Enseignement technique ou professionnel court;14647,99834000;Exerce une profession;Employe;6;Oui;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Oui;Non;Non;4,0
22;30;Homme;Enseignement technique ou professionnel court;8128,06029050;Exerce une profession;Employe;2;Oui;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Non;Non;Non;Non;Non;6,0
23;37;Femme;Enseignement technique ou professionnel court;1281,91563120;Exerce une profession;Employe;4;Non;Appartenance sans pratique;Moins important que le reste;Satisfaction;Non;Non;Non;Oui;Non;Oui;Oui;0,0
24;79;Femme;Derniere annee d'etudes primaires;11663,33833000;Autre inactif;NA;11;Non;Pratiquant regulier;NA;NA;Non;Non;Non;Non;Non;Non;Non;7,0
25;20;Femme;NA;8780,26141650;Exerce une profession;Ouvrier specialise;0;Non;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Non;Oui;Oui;2,0
26;74;Homme;Enseignement superieur y compris technique superieur;1700,84365950;Retraite;Cadre;2;Oui;Ni croyance ni appartenance;NA;NA;Non;Non;Oui;Non;Non;Non;Non;3,0
27;31;Femme;Enseignement technique ou professionnel long;6662,83747950;Exerce une profession;Ouvrier qualifie;1;Non;Appartenance sans pratique;Moins important que le reste;Equilibre;Non;Non;Non;Oui;Non;Non;Non;1,0
