code_insee;commune;code_region;region;code_departement;departement;pop_tot;pop_cl;pop_0_14;pop_15_29;pop_18_24;pop_75p;pop_femmes;pop_act_15p;pop_chom;pop_agric;pop_indep;pop_cadres;pop_interm;pop_empl;pop_ouvr;pop_scol_18_24;pop_non_scol_15p;pop_dipl_aucun;pop_dipl_bepc;pop_dipl_capbep;pop_dipl_bac;pop_dipl_bac2;pop_dipl_sup;log_rp;log_proprio;log_loc;log_hlm;log_sec;log_maison;log_appart;age_0_14;age_15_29;age_75p;femmes;chom;agric;indep;cadres;interm;empl;ouvr;etud;dipl_aucun;dipl_bepc;dipl_capbep;dipl_bac;dipl_bac2;dipl_sup;resid_sec;proprio;locataire;hlm;maison;appart
01004;Ambérieu-en-Bugey;82;Rhône-Alpes;01;Ain;14233;10 001-50 000;3038;2904;1289;1176;7379;6716;956;0;307;721;1733;1909;1911;442;10115;1784;585;2511;1933;1326;1029;6012;2774;3097;1221;97;3042;2947;21,34476217241621;20,40328813321155;8,262488582870793;51,8443054872479;14,23466349017272;0,00000000000000000;4,571173317450864;10,73555687909470;25,80405002977963;28,42465753424658;28,45443716497915;34,29014740108612;17,63717251606525;5,783489866534850;24,82451804251112;19,110232328225408;13,109243697478993;10,173010380622838;1,5878212473399902;46,1410512308716;51,51363938789088;20,3093812375249527;50,598802395209589;49,018629407850966
01007;Ambronay;82;Rhône-Alpes;01;Ain;2437;2 000-3 000;547;350;125;159;1243;1201;102;28;62;180;340;332;293;34;1761;212;83;501;358;280;191;975;739;224;64;63;835;138;22,44562987279442;14,36192039392696;6,524415264669675;51,0053344275749;8,49292256452956;2,33139050791007474;5,162364696086595;14,98751040799334;28,30974188176519;27,64363030807661;24,39633638634471;27,20000000000000;12,03861442362294;4,713231118682567;28,44974446337308;20,329358319136855;15,900056785917094;10,846110164679160;6,0693641618497107;75,7948717948718;22,97435897435897;6,5641025641025639;85,641025641025635;14,153846153846153
01014;Arbent;82;Rhône-Alpes;01;Ain;3440;3 001-5 000;705;524;209;223;1679;1608;207;0;116;152;308;328;744;79;2486;799;127;580;352;249;134;1313;790;501;371;13;869;435;20,49418604651163;15,23255813953488;6,482558139534884;48,8081395348837;12,87313432835821;0,00000000000000000;7,213930348258707;9,45273631840796;19,15422885572139;20,39800995024876;46,26865671641791;37,79904306220095;32,13998390989541;5,108608205953339;23,33065164923572;14,159292035398231;10,016090104585681;5,390185036202736;0,9803921568627451;60,1675552170602;38,15689261233815;28,2559025133282589;66,184310738766186;33,130236100533125
01024;Attignat;82;Rhône-Alpes;01;Ain;3110;3 001-5 000;741;500;191;173;1543;1585;111;16;48;140;448;484;444;85;2148;219;103;715;399;355;137;1177;881;285;52;17;1020;157;23,82636655948553;16,07717041800643;5,562700964630225;49,6141479099678;7,00315457413249;1,00946372239747650;3,028391167192429;8,83280757097792;28,26498422712934;30,53627760252366;28,01261829652997;44,50261780104712;10,19553072625698;4,795158286778398;33,28677839851024;18,575418994413408;16,527001862197395;6,378026070763501;1,4237855946398659;74,8513169073917;24,21410365335599;4,4180118946474085;86,661002548853020;13,338997451146984
01025;Bâgé-la-Ville;82;Rhône-Alpes;01;Ain;3130;3 001-5 000;743;432;182;154;1542;1610;118;39;89;113;409;398;520;73;2172;310;125;616;381;353;190;1167;974;180;42;20;1110;55;23,73801916932907;13,80191693290735;4,920127795527156;49,2651757188498;7,32919254658385;2,42236024844720488;5,527950310559007;7,01863354037267;25,40372670807454;24,72049689440994;32,29813664596274;40,10989010989011;14,27255985267035;5,755064456721915;28,36095764272560;17,541436464088399;16,252302025782690;8,747697974217312;1,6849199663016006;83,4618680377035;15,42416452442159;3,5989717223650386;95,115681233933159;4,712939160239932
01027;Balan;82;Rhône-Alpes;01;Ain;2785;2 000-3 000;366;827;438;56;977;1923;61;4;55;224;770;475;433;234;2111;218;177;666;614;218;137;584;437;130;18;3;481;95;13,14183123877918;29,69479353680431;2,010771992818671;35,0807899461400;3,17212688507540;0,20800832033281333;2,860114404576183;11,64846593863754;40,04160166406656;24,70098803952158;22,51690067602704;53,42465753424658;10,32685930838465;8,384651823780199;31,54902889625770;29,085741354808150;10,326859308384652;6,489815253434392;0,5110732538330494;74,8287671232877;22,26027397260274;3,0821917808219177;82,363013698630141;16,267123287671232
01031;Bellignat;82;Rhône-Alpes;01;Ain;3642;3 001-5 000;729;772;412;221;1833;1767;262;0;92;164;336;508;664;231;2536;708;160;584;409;275;188;1675;600;1043;731;13;573;1086;20,01647446457990;21,19714442613948;6,068094453596925;50,3294892915980;14,82739105829089;0,00000000000000000;5,206564799094511;9,28126768534239;19,01528013582343;28,74929258630447;37,57781550650820;56,06796116504854;27,91798107255520;6,309148264984227;23,02839116719243;16,127760252365931;10,843848580441641;7,413249211356467;0,7701421800947867;35,8208955223881;62,26865671641792;43,6417910447761201;34,208955223880601;64,835820895522389
01032;Béligneux;82;Rhône-Alpes;01;Ain;3172;3 001-5 000;836;573;229;168;1619;1575;160;4;62;201;460;599;275;84;2135;230;139;601;485;270;266;1144;624;511;219;18;831;306;26,35561160151324;18,06431273644388;5,296343001261034;51,0403530895334;10,15873015873016;0,25396825396825395;3,936507936507937;12,76190476190476;29,20634920634921;38,03174603174603;17,46031746031746;36,68122270742359;10,77283372365340;6,510538641686183;28,14988290398126;22,716627634660423;12,646370023419204;12,459016393442624;1,5490533562822719;54,5454545454545;44,66783216783217;19,1433566433566433;72,639860139860133;26,748251748251750
01033;Bellegarde-sur-Valserine;82;Rhône-Alpes;01;Ain;11590;10 001-50 000;2321;2184;891;1129;5866;5470;986;2;250;503;1093;1512;1987;218;8659;1996;524;2332;1255;829;822;5153;2289;2747;1361;88;1395;3751;20,02588438308887;18,84383088869715;9,741156169111303;50,6125970664366;18,02559414990859;0,03656307129798903;4,570383912248629;9,19561243144424;19,98171846435100;27,64168190127971;36,32541133455211;24,46689113355780;23,05116064210648;6,051507102436771;26,93151634137891;14,493590483889596;9,573853793740616;9,493013050005775;1,6790688799847358;44,4207257908015;53,30875218319425;26,4117989520667571;27,071608771589368;72,792548030273636
01034;Belley;82;Rhône-Alpes;01;Ain;8870;5 001-10 000;1643;1543;647;1136;4672;3909;509;8;268;333;852;1197;1171;206;6636;1402;359;1661;1056;729;575;3902;1700;2010;908;148;1703;2188;18,52311161217587;17,39571589627960;12,807215332581737;52,6719278466742;13,02123305193144;0,20465592223074958;6,855973394730110;8,51880276285495;21,79585571757483;30,62164236377590;29,95651061652597;31,83925811437404;21,12718505123568;5,409885473176612;25,03013863773357;15,913200723327305;10,985533453887884;8,664858348402653;3,6543209876543212;43,5674013326499;51,51204510507432;23,2701178882624298;43,644284982060483;56,073808303434134
01043;Beynost;82;Rhône-Alpes;01;Ain;4528;3 001-5 000;875;761;333;344;2300;2171;192;5;165;528;655;464;313;188;3200;368;167;704;566;514;633;1747;1357;360;88;8;1397;348;19,32420494699647;16,80653710247350;7,597173144876325;50,7950530035336;8,84385076001842;0,23030861354214646;7,600184246890834;24,32058959005067;30,17042837402119;21,37263933671120;14,41731920773837;56,45645645645646;11,50000000000000;5,218750000000000;22,00000000000000;17,687500000000000;16,062500000000000;19,781250000000000;0,4558404558404558;77,6760160274757;20,60675443617630;5,0372066399542073;79,965655409273040;19,919862621637090
01049;La Boisse;82;Rhône-Alpes;01;Ain;2903;2 000-3 000;658;471;245;184;1450;1396;99;0;95;242;493;313;318;118;2002;266;129;553;348;271;238;1079;862;181;18;11;940;126;22,66620737168446;16,22459524629693;6,338270754392009;49,9483293145022;7,09169054441261;0,00000000000000000;6,805157593123210;17,33524355300860;35,31518624641834;22,42120343839542;22,77936962750716;48,16326530612245;13,28671328671329;6,443556443556443;27,62237762237762;17,382617382617383;13,536463536463536;11,888111888111888;1,0091743119266057;79,8887859128823;16,77479147358665;1,6682113067655238;87,117701575532905;11,677479147358666
01053;Bourg-en-Bresse;82;Rhône-Alpes;01;Ain;40171;10 001-50 000;6308;8995;4780;4752;21206;17859;2911;43;824;2121;4611;5030;4977;2338;29808;6227;1831;6912;4790;3656;3379;19716;7006;12343;6285;482;4667;14911;15,70287022976774;22,39177516118593;11,829429190211844;52,7893256329193;16,29990480989977;0,24077495940422197;4,613920152304160;11,87636485805476;25,81891483285738;28,16507083263340;27,86830169662355;48,91213389121339;20,89036500268384;6,142646269457864;23,18840579710145;16,069511540526033;12,265163714439078;11,335882984433709;2,3863748886028322;35,5345911949685;62,60397646581457;31,8776628119293974;23,671130046662608;75,628930817610069
01071;Cessy;82;Rhône-Alpes;01;Ain;4342;3 001-5 000;1054;753;269;95;2200;2410;173;8;84;532;772;652;348;96;2962;251;115;674;557;544;724;1697;1028;645;254;83;1002;691;24,27452786734224;17,34223859972363;2,187931828650392;50,6678949792722;7,17842323651452;0,33195020746887965;3,485477178423237;22,07468879668050;32,03319502074689;27,05394190871369;14,43983402489626;35,68773234200744;8,47400405131668;3,882511816340311;22,75489534098582;18,804861580013505;18,365968939905468;24,442943956785957;4,6629213483146064;60,5774896876841;38,00824985268120;14,9675898644667065;59,045374189746610;40,718915733647613
01072;Ceyzériat;82;Rhône-Alpes;01;Ain;2939;2 000-3 000;607;423;178;273;1517;1447;115;0;97;216;382;391;345;53;2170;208;137;550;370;389;350;1196;812;362;90;33;914;282;20,65328342973801;14,39265056141545;9,288873766587274;51,6161959850289;7,94747753973739;0,00000000000000000;6,703524533517623;14,92743607463718;26,39944713199723;27,02142363510712;23,84243261921216;29,77528089887641;9,58525345622120;6,313364055299539;25,34562211981567;17,050691244239633;17,926267281105989;16,129032258064516;2,6851098454027666;67,8929765886288;30,26755852842810;7,5250836120401345;76,421404682274257;23,578595317725753
01074;Chalamont;82;Rhône-Alpes;01;Ain;2402;2 000-3 000;558;393;178;243;1232;1177;86;41;57;126;289;305;370;54;1693;269;77;491;316;201;126;957;548;378;129;22;637;319;23,23064113238967;16,36136552872606;10,116569525395503;51,2905911740216;7,30671197960918;3,48343245539507240;4,842820730671198;10,70518266779949;24,55395072217502;25,91333899745115;31,43585386576041;30,33707865168540;15,88895451860602;4,548139397519196;29,00177200236267;18,665091553455404;11,872415829887775;7,442409923213231;2,2471910112359552;57,2622779519331;39,49843260188088;13,4796238244514122;66,562173458725184;33,333333333333329
01091;Châtillon-en-Michaille;82;Rhône-Alpes;01;Ain;3136;3 001-5 000;663;503;197;174;1546;1620;128;8;105;128;416;462;457;75;2240;396;117;698;382;277;182;1227;846;335;158;81;962;262;21,14158163265306;16,03954081632653;5,548469387755102;49,2984693877551;7,90123456790123;0,49382716049382713;6,481481481481481;7,90123456790123;25,67901234567901;28,51851851851852;28,20987654320988;38,07106598984771;17,67857142857143;5,223214285714286;31,16071428571428;17,053571428571431;12,366071428571429;8,125000000000000;6,1926605504587160;68,9486552567237;27,30236348818256;12,8769356153219245;78,402607986960064;21,352893235533823
01093;Châtillon-sur-Chalaronne;82;Rhône-Alpes;01;Ain;4957;3 001-5 000;879;862;379;689;2582;2196;226;24;144;240;500;556;720;143;3692;637;202;918;756;407;294;2185;1070;1076;389;35;1130;1047;17,73249949566270;17,38955013112770;13,899536009683274;52,0879564252572;10,29143897996357;1,09289617486338808;6,557377049180328;10,92896174863388;22,76867030965392;25,31876138433515;32,78688524590164;37,73087071240106;17,25352112676056;5,471289274106176;24,86457204767064;20,476706392199350;11,023835319609967;7,963163596966413;1,5765765765765765;48,9702517162471;49,24485125858124;17,8032036613272311;51,716247139588098;47,917620137299771
01109;Collonges;82;Rhône-Alpes;01;Ain;2046;2 000-3 000;530;326;107;58;1021;1143;114;5;43;197;227;382;253;37;1401;193;54;391;281;207;209;798;508;277;130;43;545;253;25,90420332355816;15,93352883675464;2,834799608993157;49,9022482893451;9,97375328083990;0,43744531933508313;3,762029746281715;17,23534558180227;19,86001749781277;33,42082239720035;22,13473315835520;34,57943925233645;13,77587437544611;3,854389721627409;27,90863668807994;20,057102069950037;14,775160599571734;14,917915774446824;5,1129607609988108;63,6591478696742;34,71177944862156;16,2907268170426072;68,295739348370930;31,704260651629074
01138;Culoz;82;Rhône-Alpes;01;Ain;2940;2 000-3 000;580;469;196;301;1479;1255;135;0;57;130;300;252;470;72;2171;477;99;668;288;183;153;1264;667;565;330;72;726;503;19,72789115646258;15,95238095238095;10,238095238095237;50,3061224489796;10,75697211155378;0,00000000000000000;4,541832669322709;10,35856573705179;23,90438247011952;20,07968127490040;37,45019920318725;36,73469387755102;21,97144173192077;4,560110548134500;30,76923076923077;13,265776140027638;8,429295255642561;7,047443574389682;5,3892215568862278;52,7689873417722;44,69936708860759;26,1075949367088604;57,436708860759488;39,794303797468359
01142;Dagneux;82;Rhône-Alpes;01;Ain;4169;3 001-5 000;961;754;351;191;2108;2112;195;8;80;295;559;591;522;137;2888;420;159;824;507;413;327;1564;1047;477;167;14;1135;423;23,05109138882226;18,08587191172943;4,581434396737826;50,5636843367714;9,23295454545454;0,37878787878787878;3,787878787878788;13,96780303030303;26,46780303030303;27,98295454545455;24,71590909090909;39,03133903133903;14,54293628808864;5,505540166204987;28,53185595567867;17,555401662049860;14,300554016620499;11,322714681440443;0,8871989860583016;66,9437340153453;30,49872122762148;10,6777493606138112;72,570332480818408;27,046035805626602
01143;Divonne-les-Bains;82;Rhône-Alpes;01;Ain;8615;5 001-10 000;1801;1227;463;556;4525;4437;365;24;264;1324;1060;1168;504;188;6255;603;267;1064;1077;952;1964;3821;2180;1490;298;654;1412;2375;20,90539756239118;14,24260011607661;6,453859547301219;52,5246662797446;8,22627901735407;0,54090601757944556;5,949966193373902;29,83998196979941;23,89001577642551;26,32409285553302;11,35902636916836;40,60475161987041;9,64028776978417;4,268585131894485;17,01039168665068;17,218225419664268;15,219824140687448;31,398880895283771;14,6145251396648046;57,0531274535462;38,99502747971735;7,7990054959434705;36,953677047893223;62,156503533106523
01157;Fareins;82;Rhône-Alpes;01;Ain;2196;2 000-3 000;495;309;146;115;1111;1035;56;20;105;170;259;242;210;72;1540;185;92;432;244;218;205;837;671;156;34;22;691;123;22,54098360655738;14,07103825136612;5,236794171220400;50,5919854280510;5,41062801932367;1,93236714975845403;10,144927536231885;16,42512077294686;25,02415458937198;23,38164251207730;20,28985507246377;49,31506849315068;12,01298701298701;5,974025974025974;28,05194805194805;15,844155844155845;14,155844155844155;13,311688311688311;2,5611175785797435;80,1672640382318;18,63799283154122;4,0621266427718039;82,556750298685770;14,695340501792115
01159;Feillens;82;Rhône-Alpes;01;Ain;3147;3 001-5 000;525;534;213;291;1577;1629;134;33;102;151;327;472;536;69;2420;413;129;707;395;325;159;1352;910;416;82;15;1170;181;16,68255481410867;16,96854146806482;9,246901811248808;50,1112170320941;8,22590546347452;2,02578268876611434;6,261510128913445;9,26949048496010;20,07366482504604;28,97483118477593;32,90362185389809;32,39436619718310;17,06611570247934;5,330578512396694;29,21487603305785;16,322314049586780;13,429752066115702;6,570247933884297;1,0972933430870520;67,3076923076923;30,76923076923077;6,0650887573964498;86,538461538461547;13,387573964497040
