origin,month
EWR,1
LGA,1
JFK,1
JFK,1
LGA,1
EWR,1
EWR,1
LGA,1
JFK,1
LGA,1
JFK,1
JFK,1
JFK,1
EWR,1
LGA,1
JFK,1
EWR,1
LGA,1
LGA,1
EWR,1
LGA,1
LGA,1
EWR,1
JFK,1
EWR,1
EWR,1
JFK,1
JFK,1
JFK,1
EWR,1
EWR,1
LGA,1
LGA,1
EWR,1
LGA,1
JFK,1
JFK,1
EWR,1
LGA,1
LGA,1
EWR,1
EWR,1
LGA,1
LGA,1
JFK,1
EWR,1
EWR,1
EWR,1
JFK,1
LGA,1
EWR,1
JFK,1
JFK,1
LGA,1
JFK,1
JFK,1
LGA,1
LGA,1
JFK,1
LGA,1
EWR,1
LGA,1
LGA,1
JFK,1
LGA,1
JFK,1
LGA,1
EWR,1
EWR,1
JFK,1
LGA,1
JFK,1
JFK,1
EWR,1
LGA,1
JFK,1
EWR,1
LGA,1
EWR,1
EWR,1
EWR,1
LGA,1
JFK,1
JFK,1
LGA,1
EWR,1
JFK,1
JFK,1
LGA,1
EWR,1
LGA,1
JFK,1
JFK,1
JFK,1
JFK,1
EWR,1
EWR,1
LGA,1
LGA,1
LGA,1
LGA,1
LGA,1
LGA,1
EWR,1
JFK,1
LGA,1
JFK,1
EWR,1
JFK,1
JFK,1
JFK,1
JFK,1
JFK,1
LGA,1
JFK,1
EWR,1
JFK,1
LGA,1
EWR,1
LGA,1
EWR,1
EWR,1
LGA,1
LGA,1
JFK,1
JFK,1
JFK,1
JFK,1
JFK,1
JFK,1
LGA,1
JFK,1
EWR,1
LGA,1
JFK,1
JFK,1
EWR,1
JFK,1
EWR,1
JFK,1
EWR,1
LGA,1
LGA,1
EWR,1
LGA,1
LGA,1
LGA,1
LGA,1
JFK,1
JFK,1
EWR,1
JFK,1
EWR,1
EWR,1
EWR,1
EWR,1
EWR,1
JFK,1
LGA,1
JFK,1
LGA,1
EWR,1
JFK,1
LGA,1
EWR,1
EWR,1
LGA,1
LGA,1
JFK,1
EWR,1
EWR,1
LGA,1
EWR,1
JFK,1
EWR,1
JFK,1
LGA,1
EWR,1
JFK,1
JFK,1
EWR,1
EWR,1
EWR,1
EWR,1
LGA,1
